question_ID,question,context1,context2,answer1,answer2,contradictType,samepassage,merged_context,ref_answer,WikipediaArticleTitle,url
62,"Did Birmingham have more than 29,182 back-to-back houses in 1959?","By 1959, Leeds and Birmingham each had 60,000 back-to-back houses, and Members of Parliament were calling for the demolition to be accelerated.","Following the Second World War and the Blitz aerial bombing of industrial cities, Britain was ready for a new wave of slum demolition and construction of more suitable housing. For example, Birmingham had about 40,000 back-to-backs in 1931 but only 29,182 by September 1946.",Yes,No,Implicit (reasoning required),Different,"By 1959, Leeds and Birmingham each had 60,000 back-to-back houses, and Members of Parliament were calling for the demolition to be accelerated.
Following the Second World War and the Blitz aerial bombing of industrial cities, Britain was ready for a new wave of slum demolition and construction of more suitable housing. For example, Birmingham had about 40,000 back-to-backs in 1931 but only 29,182 by September 1946.",Yes|No,Back-to-back house,https://en.wikipedia.org/wiki/Back-to-back_house
65,"Marina Augusta Pepper also called Marina Baker is an English Liberal Democrat local politician, journalist. Was Marina Baker born on 8 December 1967?",Marina Baker was born on 8 December 1967.,Marina Augusta Baker was born on 12 August 1967 (age 56).,Yes,No,Explicit,Different,"Marina Baker was born on 8 December 1967.
Marina Augusta Baker was born on 12 August 1967 (age 56).",Yes|No,Marina Baker,https://en.wikipedia.org/wiki/Marina_Baker
64,"Marina Augusta Pepper also called Marina Baker is an English Liberal Democrat local politician, journalist. When was Marina Baker born?",Marina Baker was born on 8 December 1967.,Marina Augusta Baker was born on 12 August 1967 (age 56).,8 December 1967,12 August 1967,Explicit,Different,"Marina Baker was born on 8 December 1967.
Marina Augusta Baker was born on 12 August 1967 (age 56).",8 December 1967|12 August 1967,Marina Baker,https://en.wikipedia.org/wiki/Marina_Baker
67,When did Adolph James Rode change his name to Cesar Francesco Barone? ,"In 1980, now under the name Cesar Francesco Barone, Adolph James Rode was sentenced again for several burglaries and imprisoned.","Released in 1987 after seven years in detention, Adolph James Rode moved to Washington state with his girlfriend Kathi Scarbrough, whom he met in prison. Shortly after, Adolph James Rode decided to rename himself Cesar Francesco Barone.",1980 or before 1980,1987 or after 1987,Implicit (reasoning required),Different,"In 1980, now under the name Cesar Francesco Barone, Adolph James Rode was sentenced again for several burglaries and imprisoned.
Released in 1987 after seven years in detention, Adolph James Rode moved to Washington state with his girlfriend Kathi Scarbrough, whom he met in prison. Shortly after, Adolph James Rode decided to rename himself Cesar Francesco Barone.",1980 or before 1980|1987 or after 1987,Cesar Barone,https://en.wikipedia.org/wiki/Cesar_Barone
66,"When Adolph James Rode was sentenced again for several burglaries and imprisoned in 1980, was he under the name Cesar Francesco Barone?","In 1980, now under the name Cesar Francesco Barone, Adolph James Rode was sentenced again for several burglaries and imprisoned.","Released in 1987 after seven years in detention, Adolph James Rode moved to Washington state with his girlfriend Kathi Scarbrough, whom he met in prison. Shortly after, Adolph James Rode decided to rename himself Cesar Francesco Barone.",Yes,No,Implicit (reasoning required),Different,"In 1980, now under the name Cesar Francesco Barone, Adolph James Rode was sentenced again for several burglaries and imprisoned.
Released in 1987 after seven years in detention, Adolph James Rode moved to Washington state with his girlfriend Kathi Scarbrough, whom he met in prison. Shortly after, Adolph James Rode decided to rename himself Cesar Francesco Barone.",Yes|No,Cesar Barone,https://en.wikipedia.org/wiki/Cesar_Barone
69,Did the formation of the Belogradchik Rocks start about 230 million years ago? ,"The formation of the Belogradchik Rocks started during the Permian period, about 230 million years ago, when the tectonic cycle was folding to create the Balkan Mountains and elevating the region of Belogradchik.","The formation of the Belogradchik Rocks started during the Permian period, about 230 million years ago, when the tectonic cycle was folding to create the Balkan Mountains and elevating the region of Belogradchik.",Yes,No,Implicit (reasoning required),Same,"The formation of the Belogradchik Rocks started during the Permian period, about 230 million years ago, when the tectonic cycle was folding to create the Balkan Mountains and elevating the region of Belogradchik.",Yes|No,Belogradchik Rocks,https://en.wikipedia.org/wiki/Belogradchik_Rocks
68,Did the formation of the Belogradchik Rocks start during the Permian period?,"The formation of the Belogradchik Rocks started during the Permian period, about 230 million years ago, when the tectonic cycle was folding to create the Balkan Mountains and elevating the region of Belogradchik.","The formation of the Belogradchik Rocks started during the Permian period, about 230 million years ago, when the tectonic cycle was folding to create the Balkan Mountains and elevating the region of Belogradchik.",Yes,No,Implicit (reasoning required),Same,"The formation of the Belogradchik Rocks started during the Permian period, about 230 million years ago, when the tectonic cycle was folding to create the Balkan Mountains and elevating the region of Belogradchik.",Yes|No,Belogradchik Rocks,https://en.wikipedia.org/wiki/Belogradchik_Rocks
71,Is the maximum firing range of the Blaster (flamethrower) more than 2 meters (6 ft 7 in)?,"The Blaster was a liquefied petroleum gas flamethrower installed along the sides of the vehicle under the doors. Should a group of carjackers suddenly attack the vehicle while it is stopped in traffic (the typical scenario), the occupant could flip a switch and direct 5-metre (16 ft) plumes of flame upward into the facial area of anyone trying to enter the vehicle through the doors or windows.",The maximum firing range of the Blaster (flamethrower) is 2 meters (6 ft 7 in) flame.,Yes,No,Explicit,Different,"The Blaster was a liquefied petroleum gas flamethrower installed along the sides of the vehicle under the doors. Should a group of carjackers suddenly attack the vehicle while it is stopped in traffic (the typical scenario), the occupant could flip a switch and direct 5-metre (16 ft) plumes of flame upward into the facial area of anyone trying to enter the vehicle through the doors or windows.
The maximum firing range of the Blaster (flamethrower) is 2 meters (6 ft 7 in) flame.",Yes|No,Blaster (flamethrower),https://en.wikipedia.org/wiki/Blaster_(flamethrower)
70,What is the maximum firing range of the Blaster (flamethrower)?,"The Blaster was a liquefied petroleum gas flamethrower installed along the sides of the vehicle under the doors. Should a group of carjackers suddenly attack the vehicle while it is stopped in traffic (the typical scenario), the occupant could flip a switch and direct 5-metre (16 ft) plumes of flame upward into the facial area of anyone trying to enter the vehicle through the doors or windows.",The maximum firing range of the Blaster (flamethrower) is 2 meters (6 ft 7 in) flame.,5-metre (16 ft),2 meters (6 ft 7 in),Explicit,Different,"The Blaster was a liquefied petroleum gas flamethrower installed along the sides of the vehicle under the doors. Should a group of carjackers suddenly attack the vehicle while it is stopped in traffic (the typical scenario), the occupant could flip a switch and direct 5-metre (16 ft) plumes of flame upward into the facial area of anyone trying to enter the vehicle through the doors or windows.
The maximum firing range of the Blaster (flamethrower) is 2 meters (6 ft 7 in) flame.",5-metre (16 ft)|2 meters (6 ft 7 in),Blaster (flamethrower),https://en.wikipedia.org/wiki/Blaster_(flamethrower)
73,When was the first production of Boeing-Saab T-7 rolled out?,On 18 May 2023 the Government Accountability Office released a report on the Boeing-Saab T-7 program detailing problems with the software and safety systems and other delays that saw the USAF delay a production decision to February 2025,The first production of Boeing-Saab T-7 was rolled out on 28 April 2022.,The production decision will be made on February 2025,28 April 2022,Implicit (reasoning required),Different,"On 18 May 2023 the Government Accountability Office released a report on the Boeing-Saab T-7 program detailing problems with the software and safety systems and other delays that saw the USAF delay a production decision to February 2025
The first production of Boeing-Saab T-7 was rolled out on 28 April 2022.",The production decision will be made on February 2025|28 April 2022,Boeing–Saab T-7 Red Hawk,https://en.wikipedia.org/wiki/Boeing–Saab_T-7_Red_Hawk
72,Was the first production of Boeing-Saab T-7 rolled out before February 2025?,On 18 May 2023 the Government Accountability Office released a report on the Boeing-Saab T-7 program detailing problems with the software and safety systems and other delays that saw the USAF delay a production decision to February 2025,The first production of Boeing-Saab T-7 was rolled out on 28 April 2022.,No,Yes,Implicit (reasoning required),Different,"On 18 May 2023 the Government Accountability Office released a report on the Boeing-Saab T-7 program detailing problems with the software and safety systems and other delays that saw the USAF delay a production decision to February 2025
The first production of Boeing-Saab T-7 was rolled out on 28 April 2022.",No|Yes,Boeing–Saab T-7 Red Hawk,https://en.wikipedia.org/wiki/Boeing–Saab_T-7_Red_Hawk
74,"David Brady, an Irish former Gaelic footballer who played for the Mayo county team in midfield in the 1990s and 2000s. What was his job in 2020?","David Brady, an Irish former Gaelic footballer who played for the Mayo county team in midfield in the 1990s and 2000s, works as a medical sales rep in 2020.","David Brady (born 1974) is an Irish former Gaelic footballer who played for the Mayo county team in midfield in the 1990s and 2000s. As of 2020, he works as a journalist.",medical sales rep,journalist,Explicit,Different,"David Brady, an Irish former Gaelic footballer who played for the Mayo county team in midfield in the 1990s and 2000s, works as a medical sales rep in 2020.
David Brady (born 1974) is an Irish former Gaelic footballer who played for the Mayo county team in midfield in the 1990s and 2000s. As of 2020, he works as a journalist.",medical sales rep|journalist,David Brady,https://en.wikipedia.org/wiki/David_Brady
76,Is Tregaron estate bigger than 20 acres?,"Joseph E. Davies and his wife bought the Tregaron estate in 1940. After Davies's death in 1958, the Washington International School purchased 6 acres (24,000 m2) of the 20 acres (81,000 m2), and the Tregaron Limited Partnership, an Israeli corporation, purchased the remaining 14 acres (57,000 m2).","The Tregaron estate covers 20.5 acres (83,000 m2).",No,Yes,Explicit,Different,"Joseph E. Davies and his wife bought the Tregaron estate in 1940. After Davies's death in 1958, the Washington International School purchased 6 acres (24,000 m2) of the 20 acres (81,000 m2), and the Tregaron Limited Partnership, an Israeli corporation, purchased the remaining 14 acres (57,000 m2).
The Tregaron estate covers 20.5 acres (83,000 m2).",No|Yes,Tregaron Estate,https://en.wikipedia.org/wiki/Tregaron_Estate
75,How large is the Tregaron estate in both acres and square meters?,"Joseph E. Davies and his wife bought the Tregaron estate in 1940. After Davies's death in 1958, the Washington International School purchased 6 acres (24,000 m2) of the 20 acres (81,000 m2), and the Tregaron Limited Partnership, an Israeli corporation, purchased the remaining 14 acres (57,000 m2).","The Tregaron estate covers 20.5 acres (83,000 m2).","20 acres (81,000 m2)","20.5 acres (83,000 m2)",Explicit,Different,"Joseph E. Davies and his wife bought the Tregaron estate in 1940. After Davies's death in 1958, the Washington International School purchased 6 acres (24,000 m2) of the 20 acres (81,000 m2), and the Tregaron Limited Partnership, an Israeli corporation, purchased the remaining 14 acres (57,000 m2).
The Tregaron estate covers 20.5 acres (83,000 m2).","20 acres (81,000 m2)|20.5 acres (83,000 m2)",Tregaron Estate,https://en.wikipedia.org/wiki/Tregaron_Estate
77,Is CD19 expressed in human plasma cells?,"CD19 is expressed on all normal, mitogen-stimulated, and malignant B cells, excluding plasma cells.","Contrary to some early doubts, human plasma cells do express CD19, as confirmed by others.",No,Yes,Explicit,Different,"CD19 is expressed on all normal, mitogen-stimulated, and malignant B cells, excluding plasma cells.
Contrary to some early doubts, human plasma cells do express CD19, as confirmed by others.",No|Yes,CD19,https://en.wikipedia.org/wiki/CD19
79,Does more than two monks know the secret recipe of Chartreuse?,The exact recipes for all forms of Chartreuse remain trade secrets and are known at any given time only to the three monks who prepare the herbal mixture. ,"Today, the Chartreuse liqueurs are produced using the herbal mixture prepared by two monks at Grande Chartreuse. They are the only ones to know the secret recipe.",Yes,No,Explicit,Different,"The exact recipes for all forms of Chartreuse remain trade secrets and are known at any given time only to the three monks who prepare the herbal mixture. 
Today, the Chartreuse liqueurs are produced using the herbal mixture prepared by two monks at Grande Chartreuse. They are the only ones to know the secret recipe.",Yes|No,Chartreuse (liqueur),https://en.wikipedia.org/wiki/Chartreuse_(liqueur)
78,How many monks know the secret recipe of Chartreuse?,The exact recipes for all forms of Chartreuse remain trade secrets and are known at any given time only to the three monks who prepare the herbal mixture. ,"Today, the Chartreuse liqueurs are produced using the herbal mixture prepared by two monks at Grande Chartreuse. They are the only ones to know the secret recipe.",Three,Two,Explicit,Different,"The exact recipes for all forms of Chartreuse remain trade secrets and are known at any given time only to the three monks who prepare the herbal mixture. 
Today, the Chartreuse liqueurs are produced using the herbal mixture prepared by two monks at Grande Chartreuse. They are the only ones to know the secret recipe.",Three|Two,Chartreuse (liqueur),https://en.wikipedia.org/wiki/Chartreuse_(liqueur)
81,"As of 2011, are more than 47, 195 convenience stores located at fuel stations in US?","In 2011, of the 150,000 convenience stores in US, 120,000 of them are located at fuel stations, which sell approximately 80 percent of the fuels purchased in the country.","In 2011, there were approximately 47,195 gas stations in US with convenience stores that generated $326 billion in revenue.",Yes,No,Implicit (reasoning required),Different,"In 2011, of the 150,000 convenience stores in US, 120,000 of them are located at fuel stations, which sell approximately 80 percent of the fuels purchased in the country.
In 2011, there were approximately 47,195 gas stations in US with convenience stores that generated $326 billion in revenue.",Yes|No,Convenience store,https://en.wikipedia.org/wiki/Convenience_store
80,"In 2011, how many convenience stores are located at fuel stations in US?","In 2011, of the 150,000 convenience stores in US, 120,000 of them are located at fuel stations, which sell approximately 80 percent of the fuels purchased in the country.","In 2011, there were approximately 47,195 gas stations in US with convenience stores that generated $326 billion in revenue.","120,000","47,195",Implicit (reasoning required),Different,"In 2011, of the 150,000 convenience stores in US, 120,000 of them are located at fuel stations, which sell approximately 80 percent of the fuels purchased in the country.
In 2011, there were approximately 47,195 gas stations in US with convenience stores that generated $326 billion in revenue.","120,000|47,195",Convenience store,https://en.wikipedia.org/wiki/Convenience_store
83,"Dilnigar Ilhamjan, also known as Dinigeer Yilamujiang, is a Chinese cross-country skier of Uyghur ethnicity, born in Altay, Xinjiang. Did Dinigeer Yilamujiang started learn to ski before 2013?","Originally competing as a track and field athlete, Dinigeer Yilamujiang started learning to ski when she was 12. She primarily pursued cross-country skiing initially as a hobby before transforming herself into an elite-level competitor. She took part in local events in 2012 and later engaged in competitive skiing events.","Dinigeer Yilamujiang was born on May 3, 2001. Originally competing as a track and field athlete, she started learning to ski when she was 12.",Yes,No,Implicit (reasoning required),Different,"Originally competing as a track and field athlete, Dinigeer Yilamujiang started learning to ski when she was 12. She primarily pursued cross-country skiing initially as a hobby before transforming herself into an elite-level competitor. She took part in local events in 2012 and later engaged in competitive skiing events.
Dinigeer Yilamujiang was born on May 3, 2001. Originally competing as a track and field athlete, she started learning to ski when she was 12.",Yes|No,Dinigeer Yilamujiang,https://en.wikipedia.org/wiki/Dinigeer_Yilamujiang
82,"Dilnigar Ilhamjan, also known as Dinigeer Yilamujiang, is a Chinese cross-country skier of Uyghur ethnicity, born in Altay, Xinjiang. When did Dinigeer Yilamujiang start to learn to ski?","Originally competing as a track and field athlete, Dinigeer Yilamujiang started learning to ski when she was 12. She primarily pursued cross-country skiing initially as a hobby before transforming herself into an elite-level competitor. She took part in local events in 2012 and later engaged in competitive skiing events.","Dinigeer Yilamujiang was born on May 3, 2001. Originally competing as a track and field athlete, she started learning to ski when she was 12.",before 2012 or 2012,2013,Implicit (reasoning required),Different,"Originally competing as a track and field athlete, Dinigeer Yilamujiang started learning to ski when she was 12. She primarily pursued cross-country skiing initially as a hobby before transforming herself into an elite-level competitor. She took part in local events in 2012 and later engaged in competitive skiing events.
Dinigeer Yilamujiang was born on May 3, 2001. Originally competing as a track and field athlete, she started learning to ski when she was 12.",before 2012 or 2012|2013,Dinigeer Yilamujiang,https://en.wikipedia.org/wiki/Dinigeer_Yilamujiang
85,"Sir Charles D'Oyly, 7th Baronet (1781–1845), was a British public official and painter from Dacca (now Dhaka). When was Charles D'Oyly married?","Charles D'Oyly sketched incessantly and took an active interest in the arts generally, finding these leisure pursuits to be an agreeable way to relieve the boredom associated with colonial life. He produced landscapes, scenes of Indian life, portraits, and caricatures, primarily in watercolour, and also wrote satirical verse. His work was influenced by his friend, the painter, George Chinnery, who stayed with D’Oyly and his wife in Dacca in 1802–03.","Charles D'Oyly went to England with the family in 1785 and received his first formal education there. In 1798 he returned to India as Assistant to the Registrar in the Court of Appeal in Calcutta. In 1803 he was appointed Keeper of the Records in the Governor General's office, and in 1805, he married his cousin, Marian Greer, daughter of William Greer.",Before 1802 or 1802,1805,Implicit (reasoning required),Different,"Charles D'Oyly sketched incessantly and took an active interest in the arts generally, finding these leisure pursuits to be an agreeable way to relieve the boredom associated with colonial life. He produced landscapes, scenes of Indian life, portraits, and caricatures, primarily in watercolour, and also wrote satirical verse. His work was influenced by his friend, the painter, George Chinnery, who stayed with D’Oyly and his wife in Dacca in 1802–03.
Charles D'Oyly went to England with the family in 1785 and received his first formal education there. In 1798 he returned to India as Assistant to the Registrar in the Court of Appeal in Calcutta. In 1803 he was appointed Keeper of the Records in the Governor General's office, and in 1805, he married his cousin, Marian Greer, daughter of William Greer.",Before 1802 or 1802|1805,Charles D'Oyly,https://en.wikipedia.org/wiki/Charles_D'Oyly
84,"Sir Charles D'Oyly, 7th Baronet (1781–1845), was a British public official and painter from Dacca (now Dhaka). Was Charles D'Oyly married in 1803?","Charles D'Oyly sketched incessantly and took an active interest in the arts generally, finding these leisure pursuits to be an agreeable way to relieve the boredom associated with colonial life. He produced landscapes, scenes of Indian life, portraits, and caricatures, primarily in watercolour, and also wrote satirical verse. His work was influenced by his friend, the painter, George Chinnery, who stayed with D’Oyly and his wife in Dacca in 1802–03.","Charles D'Oyly went to England with the family in 1785 and received his first formal education there. In 1798 he returned to India as Assistant to the Registrar in the Court of Appeal in Calcutta. In 1803 he was appointed Keeper of the Records in the Governor General's office, and in 1805, he married his cousin, Marian Greer, daughter of William Greer.",Yes,No,Implicit (reasoning required),Different,"Charles D'Oyly sketched incessantly and took an active interest in the arts generally, finding these leisure pursuits to be an agreeable way to relieve the boredom associated with colonial life. He produced landscapes, scenes of Indian life, portraits, and caricatures, primarily in watercolour, and also wrote satirical verse. His work was influenced by his friend, the painter, George Chinnery, who stayed with D’Oyly and his wife in Dacca in 1802–03.
Charles D'Oyly went to England with the family in 1785 and received his first formal education there. In 1798 he returned to India as Assistant to the Registrar in the Court of Appeal in Calcutta. In 1803 he was appointed Keeper of the Records in the Governor General's office, and in 1805, he married his cousin, Marian Greer, daughter of William Greer.",Yes|No,Charles D'Oyly,https://en.wikipedia.org/wiki/Charles_D'Oyly
87,"As of 2023, has Emperor released more than one live albums? ","Emperor has released four studio albums, two live albums, six EPs, two DVDs and three compilation albums.","Live albums	1; Live albums - Emperial Live Ceremony, Live at Wacken Open Air 2006, Live Inferno",Yes,No,Explicit,Different,"Emperor has released four studio albums, two live albums, six EPs, two DVDs and three compilation albums.
Live albums	1; Live albums - Emperial Live Ceremony, Live at Wacken Open Air 2006, Live Inferno",Yes|No,Emperor discography,https://en.wikipedia.org/wiki/Emperor_discography
86,"As of 2023, how many live albums has Emperor released?","Emperor has released four studio albums, two live albums, six EPs, two DVDs and three compilation albums.","Live albums	1; Live albums - Emperial Live Ceremony, Live at Wacken Open Air 2006, Live Inferno",two,One,Explicit,Different,"Emperor has released four studio albums, two live albums, six EPs, two DVDs and three compilation albums.
Live albums	1; Live albums - Emperial Live Ceremony, Live at Wacken Open Air 2006, Live Inferno",two|One,Emperor discography,https://en.wikipedia.org/wiki/Emperor_discography
89,Did Mari Fitzduff found Mediation Northern Ireland in 1988?,"Mari Fitzduff began professional peacebuilding work in 1986. Living in Northern Ireland during the conflict in 1969-1998, she set up the first courses in conflict resolution and mediation in both Queen's University Belfast and Ulster University. She went on to found Mediation Northern Ireland in 1988, an organisation which trained and supplied mediators for community and political mediations throughout Northern Ireland in the context of the conflict.","Mari Christine Fitzduff (born March 15, 1947 in Dublin) is an Irish policy maker, writer and academic. She began her work in peacebuilding and mediation working with universities during the Northern Ireland conflict before setting up a mediation organisation in 1989.",Yes,No,Explicit,Different,"Mari Fitzduff began professional peacebuilding work in 1986. Living in Northern Ireland during the conflict in 1969-1998, she set up the first courses in conflict resolution and mediation in both Queen's University Belfast and Ulster University. She went on to found Mediation Northern Ireland in 1988, an organisation which trained and supplied mediators for community and political mediations throughout Northern Ireland in the context of the conflict.
Mari Christine Fitzduff (born March 15, 1947 in Dublin) is an Irish policy maker, writer and academic. She began her work in peacebuilding and mediation working with universities during the Northern Ireland conflict before setting up a mediation organisation in 1989.",Yes|No,Mari Fitzduff,https://en.wikipedia.org/wiki/Mari_Fitzduff
88,When did Mari Fitzduff found Mediation Northern Ireland?,"Mari Fitzduff began professional peacebuilding work in 1986. Living in Northern Ireland during the conflict in 1969-1998, she set up the first courses in conflict resolution and mediation in both Queen's University Belfast and Ulster University. She went on to found Mediation Northern Ireland in 1988, an organisation which trained and supplied mediators for community and political mediations throughout Northern Ireland in the context of the conflict.","Mari Christine Fitzduff (born March 15, 1947 in Dublin) is an Irish policy maker, writer and academic. She began her work in peacebuilding and mediation working with universities during the Northern Ireland conflict before setting up a mediation organisation in 1989.",1988,1989,Explicit,Different,"Mari Fitzduff began professional peacebuilding work in 1986. Living in Northern Ireland during the conflict in 1969-1998, she set up the first courses in conflict resolution and mediation in both Queen's University Belfast and Ulster University. She went on to found Mediation Northern Ireland in 1988, an organisation which trained and supplied mediators for community and political mediations throughout Northern Ireland in the context of the conflict.
Mari Christine Fitzduff (born March 15, 1947 in Dublin) is an Irish policy maker, writer and academic. She began her work in peacebuilding and mediation working with universities during the Northern Ireland conflict before setting up a mediation organisation in 1989.",1988|1989,Mari Fitzduff,https://en.wikipedia.org/wiki/Mari_Fitzduff
91,Is the bore of the pistols that are typically used in the Second World War longer than one inch?,"The Very pistol, typical of the type used in the Second World War, are of one inch bore (26.5mm), now known as ""Calibre 4"" for signal pistols. ","The Very pistol, typical of the type used in the Second World War, are of one inch bore (26.5mm), now known as ""Calibre 4"" for signal pistols. ",No,Yes,Explicit,Same,"The Very pistol, typical of the type used in the Second World War, are of one inch bore (26.5mm), now known as ""Calibre 4"" for signal pistols. ",No|Yes,Flare gun,https://en.wikipedia.org/wiki/Flare_gun
90,How long is the bore of the pistols that are typically used in the Second World War?,"The Very pistol, typical of the type used in the Second World War, are of one inch bore (26.5mm), now known as ""Calibre 4"" for signal pistols. ","The Very pistol, typical of the type used in the Second World War, are of one inch bore (26.5mm), now known as ""Calibre 4"" for signal pistols. ",One inch,26.5 mm,Explicit,Same,"The Very pistol, typical of the type used in the Second World War, are of one inch bore (26.5mm), now known as ""Calibre 4"" for signal pistols. ",One inch|26.5 mm,Flare gun,https://en.wikipedia.org/wiki/Flare_gun
93,"During the Battle of Fort Ében-Émael, how many troops were deployed by the German army using the gliders in the attack?"," During the battle of Fort Ében-Émael, for reasons of security, Sturmabteilung Walter Koch was dispersed around several locations in the Rhineland until it received orders for the operation against Fort Ében-Émael and the three bridges to begin. Preliminary orders were received on 9 May, ordering the separated detachments to move to a pre-arranged concentration area, and shortly afterwards a second order arrived, informing the assault force that Fall Gelb was to begin at 05:25 on 10 May. The Fallschirmjäger filed onto a non-illuminated tarmac at 03:00, as the loudspeakers played Richard Wagner's ""Ride of the Valkyries"". At 04:30, forty-two gliders carrying the 493 airborne troops that formed the assault force were lifted off from two airfields in Cologne, the armada of gliders and transport aircraft turning south towards their objectives.","To prepare for the battle of Fort Ében-Émael, Hauptmann Walter Koch divided his force into four assault groups. Group Granite, under Oberleutnant Rudolf Witzig, composed of eighty-five men in eleven gliders whose task would be to assault and capture Fort Ében-Émael; Group Steel, commanded by Oberleutnant Gustav Altmann, and formed of ninety-two men and nine gliders, would capture the Veldwezelt bridge; Group Concrete, commanded by Leutnant Gerhard Schacht and composed of ninety-six men in eleven gliders, would capture the Vroenhoven bridge; and Group Iron, under Leutnant Martin Schächter, composed of ninety men in ten gliders, who would capture the Kanne bridge.",493,363,Implicit (reasoning required),Different," During the battle of Fort Ében-Émael, for reasons of security, Sturmabteilung Walter Koch was dispersed around several locations in the Rhineland until it received orders for the operation against Fort Ében-Émael and the three bridges to begin. Preliminary orders were received on 9 May, ordering the separated detachments to move to a pre-arranged concentration area, and shortly afterwards a second order arrived, informing the assault force that Fall Gelb was to begin at 05:25 on 10 May. The Fallschirmjäger filed onto a non-illuminated tarmac at 03:00, as the loudspeakers played Richard Wagner's ""Ride of the Valkyries"". At 04:30, forty-two gliders carrying the 493 airborne troops that formed the assault force were lifted off from two airfields in Cologne, the armada of gliders and transport aircraft turning south towards their objectives.
To prepare for the battle of Fort Ében-Émael, Hauptmann Walter Koch divided his force into four assault groups. Group Granite, under Oberleutnant Rudolf Witzig, composed of eighty-five men in eleven gliders whose task would be to assault and capture Fort Ében-Émael; Group Steel, commanded by Oberleutnant Gustav Altmann, and formed of ninety-two men and nine gliders, would capture the Veldwezelt bridge; Group Concrete, commanded by Leutnant Gerhard Schacht and composed of ninety-six men in eleven gliders, would capture the Vroenhoven bridge; and Group Iron, under Leutnant Martin Schächter, composed of ninety men in ten gliders, who would capture the Kanne bridge.",493|363,Battle of Fort Ében-Émael,https://en.wikipedia.org/wiki/Battle_of_Fort_Ében-Émael
92,"During the Battle of Fort Ében-Émael, how many gliders were used by the German army in the attack?"," During the battle of Fort Ében-Émael, for reasons of security, Sturmabteilung Walter Koch was dispersed around several locations in the Rhineland until it received orders for the operation against Fort Ében-Émael and the three bridges to begin. Preliminary orders were received on 9 May, ordering the separated detachments to move to a pre-arranged concentration area, and shortly afterwards a second order arrived, informing the assault force that Fall Gelb was to begin at 05:25 on 10 May. The Fallschirmjäger filed onto a non-illuminated tarmac at 03:00, as the loudspeakers played Richard Wagner's ""Ride of the Valkyries"". At 04:30, forty-two gliders carrying the 493 airborne troops that formed the assault force were lifted off from two airfields in Cologne, the armada of gliders and transport aircraft turning south towards their objectives.","To prepare for the battle of Fort Ében-Émael, Hauptmann Walter Koch divided his force into four assault groups. Group Granite, under Oberleutnant Rudolf Witzig, composed of eighty-five men in eleven gliders whose task would be to assault and capture Fort Ében-Émael; Group Steel, commanded by Oberleutnant Gustav Altmann, and formed of ninety-two men and nine gliders, would capture the Veldwezelt bridge; Group Concrete, commanded by Leutnant Gerhard Schacht and composed of ninety-six men in eleven gliders, would capture the Vroenhoven bridge; and Group Iron, under Leutnant Martin Schächter, composed of ninety men in ten gliders, who would capture the Kanne bridge.",42,41,Implicit (reasoning required),Different," During the battle of Fort Ében-Émael, for reasons of security, Sturmabteilung Walter Koch was dispersed around several locations in the Rhineland until it received orders for the operation against Fort Ében-Émael and the three bridges to begin. Preliminary orders were received on 9 May, ordering the separated detachments to move to a pre-arranged concentration area, and shortly afterwards a second order arrived, informing the assault force that Fall Gelb was to begin at 05:25 on 10 May. The Fallschirmjäger filed onto a non-illuminated tarmac at 03:00, as the loudspeakers played Richard Wagner's ""Ride of the Valkyries"". At 04:30, forty-two gliders carrying the 493 airborne troops that formed the assault force were lifted off from two airfields in Cologne, the armada of gliders and transport aircraft turning south towards their objectives.
To prepare for the battle of Fort Ében-Émael, Hauptmann Walter Koch divided his force into four assault groups. Group Granite, under Oberleutnant Rudolf Witzig, composed of eighty-five men in eleven gliders whose task would be to assault and capture Fort Ében-Émael; Group Steel, commanded by Oberleutnant Gustav Altmann, and formed of ninety-two men and nine gliders, would capture the Veldwezelt bridge; Group Concrete, commanded by Leutnant Gerhard Schacht and composed of ninety-six men in eleven gliders, would capture the Vroenhoven bridge; and Group Iron, under Leutnant Martin Schächter, composed of ninety men in ten gliders, who would capture the Kanne bridge.",42|41,Battle of Fort Ében-Émael,https://en.wikipedia.org/wiki/Battle_of_Fort_Ében-Émael
95,Does Government College University in Lahore have more than five chairs?,"In Government College University in Lahore, the following six chairs have been established at the respective departments: Allama Iqbal Chair in Philosophy, Gottlieb Wilhelm Leitner Chair in History, Syed Ali Hujwiri Chair in Persian, Ashfaq Ahmed Chair in Urdu, Sultan Ahmed Chair in Biological Sciences","In Government College University in Lahore, the following six chairs have been established at the respective departments: Allama Iqbal Chair in Philosophy, Gottlieb Wilhelm Leitner Chair in History, Syed Ali Hujwiri Chair in Persian, Ashfaq Ahmed Chair in Urdu, Sultan Ahmed Chair in Biological Sciences",Yes,No,Implicit (reasoning required),Same,"In Government College University in Lahore, the following six chairs have been established at the respective departments: Allama Iqbal Chair in Philosophy, Gottlieb Wilhelm Leitner Chair in History, Syed Ali Hujwiri Chair in Persian, Ashfaq Ahmed Chair in Urdu, Sultan Ahmed Chair in Biological Sciences",Yes|No,"Government College University, Lahore","https://en.wikipedia.org/wiki/Government_College_University,_Lahore"
